Altium Designer Pick and Place Locations
D:\项目\LED大灯项目\STM32F407ZGT6PCB Project（plan d）\STM32F407ZGT6PCB 20230313\Project Outputs for 华南师范控制板\Pick Place for MainMaster20230302.csv

========================================================================================================================
File Design Information:

Date:       21/04/23
Time:       20:59
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"D11","GBLC08C-N","TopLayer","SOD-323_L1.8-W1.3-LS2.5-BI","13.3350","71.2470","180","LXES1UTAA1-157,0402,MURATA"
"D10","GBLC08C-N","TopLayer","SOD-323_L1.8-W1.3-LS2.5-BI","13.3350","67.9450","180","LXES1UTAA1-157,0402,MURATA"
"D9","GBLC08C-N","TopLayer","SOD-323_L1.8-W1.3-LS2.5-BI","105.2830","66.4210","180","LXES1UTAA1-157,0402,MURATA"
"D8","GBLC08C-N","TopLayer","SOD-323_L1.8-W1.3-LS2.5-BI","13.3350","64.6089","360","LXES1UTAA1-157,0402,MURATA"
"CN8","XH-4A","TopLayer","XH2.5-4P","6.3500","30.1660","90",""
"CN5","XH-6A","TopLayer","XH2.5-6P","113.5380","45.3120","270",""
"CN3","XH-6A","TopLayer","XH2.5-6P","6.4770","49.5500","90",""
"CN2","XH-2A_C20079","TopLayer","XH2.5-2","6.5177","95.2500","90",""
"CN1","XH-2A_C20079","TopLayer","XH2.5-2","6.4770","84.5620","90",""
"C1","CC0603KRX7R9BB104","TopLayer","C0603","54.4829","86.2331","270",""
"R30","0603WAF5113T5E","TopLayer","R0603","105.2680","42.7990","180",""
"R28","0603WAF5113T5E","TopLayer","R0603","105.2831","64.7701","180",""
"R16","0603WAF5113T5E","TopLayer","R0603","17.7801","97.9171","180",""
"R14","0603WAF5113T5E","TopLayer","R0603","100.3301","103.2509","90",""
"R2","0603WAF5113T5E","TopLayer","R0603","74.0560","110.3630","180",""
"P2","KH-2.54FH-1X15P-H8.5","TopLayer","HDR2.54-M-LI-15P","97.9170","98.8060","180",""
"P1","KH-2.54FH-1X15P-H8.5","TopLayer","HDR2.54-M-LI-15P","97.9170","75.9460","180",""
"U2","STM32F407ZGT6","TopLayer","STM32F407ZET6_TQFP144","45.2120","56.8960","45","STM32F407ZET6"
"U5","SP3485EN-L/TR","TopLayer","SOP8_SP3485","21.5900","84.5256","90",""
"U3","XM8A51216","TopLayer","IS62WV51216BLL_TSOP44","45.0850","86.7410","90",""
"C2","CC0603KRX7R9BB104","TopLayer","C0603","36.4491","86.4869","90",""
"C53","CC0603KRX7R9BB104","TopLayer","C0603","75.4230","116.5860","360",""
"C3","VES101M1VTR-0607","TopLayer","CE_6.3*7.7","83.6930","112.5220","90",""
"C4","CC0603KRX7R9BB104","TopLayer","C0603","76.8351","108.8391","180",""
"C5","CC0603KRX7R9BB104","TopLayer","C0603","76.8500","107.3150","180",""
"C6","CC0603JRNPO9BN200","TopLayer","C0603","58.0391","45.5930","135",""
"C7","CC0603JRNPO9BN200","TopLayer","C0603","62.1816","49.9594","315",""
"C8","CC0603JRNPO9BN200","TopLayer","C0603","55.1664","35.3544","225",""
"C9","CC0603JRNPO9BN200","TopLayer","C0603","57.3556","37.5436","45",""
"C10","CL10A225KA8NNNC","TopLayer","C0603","30.4799","65.5320","315",""
"C11","CL10A225KA8NNNC","TopLayer","C0603","45.2119","74.9300","315",""
"C12","CC0603KRX7R9BB104","TopLayer","C0603","64.1345","84.7715","180",""
"C13","CC0603KRX7R9BB104","TopLayer","C1210","39.9957","35.9317","45",""
"C14","CC0603KRX7R9BB104","TopLayer","C0603","38.7834","38.2754","45",""
"C15","CC0603KRX7R9BB104","TopLayer","C0603","66.1671","53.9750","135",""
"C16","CC0603KRX7R9BB104","TopLayer","C0603","63.7541","51.5620","135",""
"C17","CC0603KRX7R9BB104","TopLayer","C1210","81.2800","104.9020","180",""
"C18","CC0603KRX7R9BB104","TopLayer","C0603","37.5920","39.3699","45",""
"C19","CC0603KRX7R9BB104","TopLayer","C0603","34.3686","43.0046","45",""
"C20","CC0603KRX7R9BB104","TopLayer","C0603","31.0666","46.8146","45",""
"C21","CC0603KRX7R9BB104","TopLayer","C0603","31.8769","67.0560","315",""
"C22","CC0603KRX7R9BB104","TopLayer","C0603","63.1190","63.8811","225",""
"C30","CC0603KRX7R9BB104","TopLayer","C0603","52.0699","111.1249","360",""
"C31","CC0603KRX7R9BB104","TopLayer","C1210","51.1810","117.4750","360",""
"C32","CC0603KRX7R9BB104","TopLayer","C1210","51.2550","113.7920","360",""
"C33","CC0603KRX7R9BB104","TopLayer","C0603","72.5022","116.5862","180",""
"C34","22μF 0603","TopLayer","C0603","101.3460","18.7960","360","X7R/X5R，额定电压>=25,精度=10%"
"C35","22μF 0603","TopLayer","C0603","6.0960","104.2520","270","X7R/X5R，额定电压>=25,精度=10%"
"C36","CC0603KRX7R9BB104","TopLayer","C1210","114.5540","103.2510","360",""
"C37","CC0603KRX7R9BB104","TopLayer","C0603","113.8070","105.9180","360",""
"C38","CC0603KRX7R9BB104","TopLayer","C0603","19.4460","80.8990","180",""
"C39","CC0603KRX7R9BB104","TopLayer","C0603","101.8540","103.2360","270",""
"C40","CC0603KRX7R9BB104","TopLayer","C0603","20.0659","100.8379","360",""
"C41","100nF 0603","TopLayer","C0603","74.9299","91.6941","270","X7R/X5R，额定电压>=25,精度=10%"
"C43","100nF 0603","TopLayer","C0603","101.4729","21.3359","360","X7R/X5R，额定电压>=25,精度=10%"
"C44","CC0603KRX7R9BB104","TopLayer","C1210","14.2240","61.9760","180",""
"C45","CC0603KRX7R9BB104","TopLayer","C1210","104.4680","68.9610","0",""
"C46","CC0603KRX7R9BB104","TopLayer","C1210","104.3940","50.4190","360",""
"C47","100nF 0603","TopLayer","C0603","3.9370","104.2520","270","X7R/X5R，额定电压>=25,精度=10%"
"C48","100nF 0603","TopLayer","C0603","86.7560","61.5950","360","X7R/X5R，额定电压>=25,精度=10%"
"C50","CC0603KRX7R9BB104","TopLayer","C1210","14.2240","27.9400","180",""
"D4","SZNUP2105LT1G","TopLayer","SOT-23","13.3985","84.5947","90",""
"D5","SZNUP2105LT1G","TopLayer","SOT-23","13.3985","95.3135","90",""
"D6","GBLC08C-N","TopLayer","SOD-323_L1.8-W1.3-LS2.5-BI","105.2830","47.7520","180","LXES1UTAA1-157,0402,MURATA"
"D7","SS24","TopLayer","SMA","90.6780","113.2980","90",""
"L1","CBM160808U121T","TopLayer","L0603","67.4664","55.0887","135",""
"L2","CBM160808U121T","TopLayer","L0603","65.0534","52.6757","135",""
"L3","YSPI1050-100M/10uH/6A","TopLayer","IND-SMD_L11.5-W10.0_SMMS1040","62.1297","114.3000","180",""
"LED2","17-21SYGC/S530-E3/TR8","TopLayer","LED_0805G","80.1370","4.1910","180",""
"LED3","17-21SYGC/S530-E3/TR8","TopLayer","LED_0805G","89.5773","4.3180","180",""
"LED4","17-21SYGC/S530-E3/TR8","TopLayer","LED_0805G","95.7157","4.3180","180",""
"LED5","17-21SYGC/S530-E3/TR8","TopLayer","LED_0805G","102.3620","4.3180","180",""
"R3","0603WAF5113T5E","TopLayer","R0603","54.4830","83.2970","90",""
"R4","0603WAF5113T5E","TopLayer","R0603","72.5021","118.1102","180",""
"R5","0603WAF5113T5E","TopLayer","R0603","76.8351","110.3631","180",""
"R6","0603WAF5113T5E","TopLayer","R0603","75.4230","118.1100","180",""
"R9","0603WAF5113T5E","TopLayer","R0603","32.2581","36.4491","180",""
"R10","0603WAF5113T5E","TopLayer","R0603","64.1351","83.1851","180",""
"R11","0603WAF5113T5E","TopLayer","R0603","16.2561","84.5819","90",""
"R12","0603WAF5113T5E","TopLayer","R0603","108.0771","103.2509","90",""
"R17","0603WAF5113T5E","TopLayer","R0603","98.9329","83.9469","360",""
"R18","0603WAF5113T5E","TopLayer","R0603","81.0261","86.7411","180",""
"R19","0603WAF5113T5E","TopLayer","R0603","13.3351","56.1341","180",""
"R20","0603WAF5113T5E","TopLayer","R0603","13.3200","52.8320","180",""
"R21","0603WAF5113T5E","TopLayer","R0603","13.3500","49.5300","180",""
"R22","0603WAF5113T5E","TopLayer","R0603","81.0261","83.6931","180",""
"R26","0603WAF5113T5E","TopLayer","R0603","105.2831","46.1011","180",""
"R27","0603WAF5113T5E","TopLayer","R0603","13.3349","66.2939","360",""
"R31","0603WAF5113T5E","TopLayer","R0603","13.3349","69.5959","360",""
"R32","0603WAF5113T5E","TopLayer","R0603","105.4101","61.4681","180",""
"R35","0603WAF5113T5E","TopLayer","R0603","105.2831","39.4971","180",""
"R36","0603WAF5113T5E","TopLayer","R0603","13.3349","72.8979","360",""
"R37","0603WAF5113T5E","TopLayer","R0603","105.2831","58.1661","180",""
"R38","0603WAF5113T5E","TopLayer","R0603","105.2831","36.1951","180",""
"R39","0603WAF5113T5E","TopLayer","R0603","19.3190","66.2940","180",""
"R42","0603WAF5113T5E","TopLayer","R0603","80.1369","2.2859","360",""
"R40","0603WAF5113T5E","TopLayer","R0603","19.3190","69.5960","180",""
"R45","0603WAF5113T5E","TopLayer","R0603","89.5349","2.4129","360",""
"R41","0603WAF5113T5E","TopLayer","R0603","19.3190","72.8981","180",""
"R43","0603WAF5113T5E","TopLayer","R0603","99.9340","64.7700","360",""
"R46","0603WAF5113T5E","TopLayer","R0603","99.9489","61.4679","360",""
"R47","0603WAF5113T5E","TopLayer","R0603","95.7579","2.4129","360",""
"R48","0603WAF5113T5E","TopLayer","R0603","102.2349","2.4129","360",""
"R49","0603WAF5113T5E","TopLayer","R0603","99.9489","58.1659","360",""
"R51","0603WAF5113T5E","TopLayer","R0603","13.3349","32.2579","360",""
"R53","0603WAF5113T5E","TopLayer","R0603","13.4619","35.5599","360",""
"R54","0603WAF5113T5E","TopLayer","R0603","19.3190","32.2581","180",""
"R55","0603WAF5113T5E","TopLayer","R0603","19.3190","35.5601","180",""
"U1","TPS54302DDCR","TopLayer","SOT23-6","75.4380","113.6650","270",""
"U7","0603L035YR","TopLayer","F0603","15.3670","81.4070","180",""
"X1","X32258MSB4SI","TopLayer","OSC_3225-4P","60.1980","47.7520","225",""
"X2","X321532768KGD2SI","TopLayer","CR_3215_32768","54.8640","38.1000","45",""
